DATE;TIME;STRAIN;SALINITY;REPLICATE;CONTROL;POPULATION;PLATE;WELL;DILUTION;FLORATE;COUNTS;CONCENTRATION
30/03/2023 10:09;8;RCC4221;35;2;Yes;Host;2;E5;100;55.43;77347;139539960.3
30/03/2023 10:09;8;RCC4221;40;2;Yes;Host;2;E6;100;55.43;70247;126731012.1
29/03/2023 10:10;7;RCC1116;5;1;Yes;Host;8;A1;400;48;8900;74166666.67
29/03/2023 10:10;7;RCC1116;10;1;Yes;Host;8;A2;400;48;12257;102141666.7
29/03/2023 10:10;7;RCC1116;15;1;Yes;Host;8;A3;400;48;13749;114575000
29/03/2023 10:10;7;RCC1116;25;1;Yes;Host;8;A4;400;48;19682;164016666.7
29/03/2023 10:10;7;RCC1116;35;1;Yes;Host;8;A5;400;48;23136;192800000
29/03/2023 10:10;7;RCC1116;40;1;Yes;Host;8;A6;400;48;20112;167600000
29/03/2023 10:10;7;RCC1116;5;2;Yes;Host;8;A7;400;48;7600;63333333.33
29/03/2023 10:10;7;RCC1116;10;2;Yes;Host;8;A8;400;48;11386;94883333.33
29/03/2023 10:10;7;RCC1116;15;2;Yes;Host;8;A9;400;48;14665;122208333.3
29/03/2023 10:10;7;RCC1116;25;2;Yes;Host;8;A10;400;48;26896;224133333.3
29/03/2023 10:10;7;RCC1116;35;2;Yes;Host;8;A11;400;48;29469;245575000
29/03/2023 10:10;7;RCC1116;40;2;Yes;Host;8;A12;400;48;26770;223083333.3
30/03/2023 10:20;8;RCC1123;5;1;Yes;Host;11;A1;250;55.43;11022;49711347.65
30/03/2023 10:20;8;RCC1123;10;1;Yes;Host;11;A2;250;55.43;23621;106535269.7
30/03/2023 10:20;8;RCC1123;15;1;Yes;Host;11;A3;250;55.43;27401;123583799.4
30/03/2023 10:20;8;RCC1123;25;1;Yes;Host;11;A4;250;55.43;27030;121910517.8
30/03/2023 10:20;8;RCC1123;35;1;Yes;Host;11;A5;250;55.43;34879;157311022.9
30/03/2023 10:20;8;RCC1123;40;1;Yes;Host;11;A6;250;55.43;30385;137042215.4
30/03/2023 10:20;8;RCC1123;5;2;Yes;Host;11;A7;250;55.43;13556;61140176.8
30/03/2023 10:20;8;RCC1123;10;2;Yes;Host;11;A8;250;55.43;22811;102882013.4
30/03/2023 10:20;8;RCC1123;15;2;Yes;Host;11;A9;250;55.43;27189;122627638.5
30/03/2023 10:20;8;RCC1123;25;2;Yes;Host;11;A10;250;55.43;29283;132071982.7
30/03/2023 10:20;8;RCC1123;35;2;Yes;Host;11;A11;250;55.43;22432;101172650.2
30/03/2023 10:20;8;RCC1123;40;2;Yes;Host;11;A12;250;55.43;30307;136690420.3
30/03/2023 10:26;8;RCC1108;5;1;Yes;Host;12;A1;250;55.43;9868;44506584.88
30/03/2023 10:26;8;RCC1108;10;1;Yes;Host;12;A2;250;55.43;15000;67652895.54
30/03/2023 10:26;8;RCC1108;15;1;Yes;Host;12;A3;250;55.43;22758;102642973.1
30/03/2023 10:26;8;RCC1108;25;1;Yes;Host;12;A4;250;55.43;30419;137195562
30/03/2023 10:26;8;RCC1108;35;1;Yes;Host;12;A5;250;55.43;29176;131589392
30/03/2023 10:26;8;RCC1108;40;1;Yes;Host;12;A6;250;55.43;24089;108646040.1
30/03/2023 10:26;8;RCC1108;5;2;Yes;Host;12;A7;250;55.43;10024;45210175
30/03/2023 10:26;8;RCC1108;10;2;Yes;Host;12;A8;250;55.43;16022;72262312.83
30/03/2023 10:26;8;RCC1108;15;2;Yes;Host;12;A9;250;55.43;10863;48994226.95
30/03/2023 10:26;8;RCC1108;25;2;Yes;Host;12;A10;250;55.43;31493;142039509.3
30/03/2023 10:26;8;RCC1108;35;2;Yes;Host;12;A12;250;55.43;32512;146635396
30/03/2023 10:26;8;RCC1108;40;2;Yes;Host;12;A12;250;55.43;29186;131634494
30/03/2023 10:40;8.02;RCC4221;5;1;No;Virus;10;G1;1000;9.11;27553;3024478595
30/03/2023 10:40;8.02;RCC4221;10;1;No;Virus;10;G2;1000;9.11;5002;549066959.4
30/03/2023 10:40;8.02;RCC4221;15;1;No;Virus;10;G3;1000;9.11;4913;539297475.3
30/03/2023 10:40;8.02;RCC4221;25;1;No;Virus;10;G4;1000;9.11;3773;414160263.4
30/03/2023 10:40;8.02;RCC4221;35;1;No;Virus;10;G5;1000;9.11;1598;175411635.6
30/03/2023 10:40;8.02;RCC4221;40;1;No;Virus;10;G6;2000;9.11;1543;338748627.9
30/03/2023 10:40;8.02;RCC4221;5;2;No;Virus;10;G7;1000;9.11;31339;3440065862
30/03/2023 10:40;8.02;RCC4221;10;2;No;Virus;10;G8;1000;9.11;6937;761470911.1
30/03/2023 10:40;8.02;RCC4221;15;2;No;Virus;10;G9;1000;9.11;4970;545554335.9
30/03/2023 10:40;8.02;RCC4221;25;2;No;Virus;10;G10;1000;9.11;4375;480241492.9
30/03/2023 10:40;8.02;RCC4221;35;2;No;Virus;10;G11;1000;9.11;3870;424807903.4
30/03/2023 10:40;8.02;RCC4221;40;2;No;Virus;10;G12;2000;9.11;1820;399560922.1
30/03/2023 10:50;8.02;RCC1116;5;1;No;Virus;11;G1;2000;8.8;112;25454545.45
30/03/2023 10:50;8.02;RCC1116;10;1;No;Virus;11;G2;2000;8.8;24;5454545.455
30/03/2023 10:50;8.02;RCC1116;15;1;No;Virus;11;G3;2000;8.8;167;37954545.45
30/03/2023 10:50;8.02;RCC1116;25;1;No;Virus;11;G4;2000;8.8;7303;1659772727
30/03/2023 10:50;8.02;RCC1116;35;1;No;Virus;11;G5;2000;8.8;8309;1888409091
30/03/2023 10:50;8.02;RCC1116;40;1;No;Virus;11;G6;2000;8.8;7050;1602272727
