c,σ
3.7930599130758076e-8,2.7324734175926595e-8
5.8093980051306484e-8,3.198604916457529e-8
3.259980201326906e-8,3.067742136855663e-8
4.5418667539809936e-8,2.1710816715728976e-8
3.064540571710071e-8,2.0169220590623184e-8
2.9048010729176316e-8,2.0817090006448822e-8
4.7213295346151236e-8,2.436819306057423e-8
4.7213295346151236e-8,2.436819306057423e-8
4.24408377879889e-8,1.5005782091975905e-8
2.5394627531831884e-8,3.141935797369763e-8
2.5838751333458677e-8,2.4132843915277315e-8
3.765120496896701e-8,4.224979186364258e-8
5.898610906228265e-8,2.5286469718040314e-8
3.5388581547678e-8,3.5921478052327526e-8
6.368541733835517e-8,2.9175982965679572e-8
4.648285275947161e-8,3.630318298614294e-8
2.5004703070994052e-8,3.852693864005809e-8
3.3473091949834104e-8,4.210753223087597e-8
4.3414036204210597e-8,2.8654104676102178e-8
3.917799577768352e-8,1.6548562557357897e-8
4.087451594506006e-8,2.0572744235421557e-8
3.7749655607712056e-8,1.8475140673558042e-8
3.7749655607712056e-8,1.8475140673558042e-8
3.424180141643161e-8,2.6428679554661832e-8
2.9073677345253328e-8,1.933685120378099e-8
4.6597290217544627e-8,2.0129763212604985e-8
3.092299094676123e-8,2.23290475556123e-8
4.338087007932629e-8,3.468873926308453e-8
4.882881739326158e-8,1.9567391433877243e-8
4.113128538186393e-8,2.2198513735738833e-8
4.113128538186393e-8,2.2198513735738833e-8
4.113128538186393e-8,2.2198513735738833e-8
3.807801330342307e-8,1.5292733293997123e-8
2.555606510750777e-8,1.8032122598225448e-8
2.555606510750777e-8,1.8032122598225448e-8
5.7667995203223095e-8,2.5100309841622944e-8
4.0446766587794725e-8,1.1162527627206632e-8
4.0446766587794725e-8,1.1162527627206632e-8
2.754066177205271e-8,1.9659428503514598e-8
3.349223435681294e-8,2.2065256925031826e-8
3.643198489433349e-8,2.641319521559203e-8
3.850477227198907e-8,1.4715827687626982e-8
4.350583176696291e-8,2.95614296908356e-8
4.1153912067576346e-8,3.0244630900939764e-8
4.380609524082563e-8,1.2696637082409804e-8
3.318687308968992e-8,1.7230406488214534e-8
3.5307326928757595e-8,2.3151168899922975e-8
4.144099888996145e-8,1.862416667477432e-8
4.144099888996145e-8,1.862416667477432e-8
4.144099888996145e-8,1.862416667477432e-8
3.5873102619348935e-8,2.8832878825842094e-8
5.171710985945835e-8,2.2846825011268013e-8
3.391061182658297e-8,3.361467592963641e-8
3.703064488298005e-8,3.893561479443526e-8
4.984938690329362e-8,2.0517957233163148e-8
2.3400115549526675e-8,2.5196751697399046e-8
4.0431356215412146e-8,2.0345889527755935e-8
4.0431356215412146e-8,2.0345889527755935e-8
3.7928674843572305e-8,2.1642815381513342e-8
4.270331628157718e-8,1.8088206291421016e-8
3.589500753688708e-8,1.8243139218147348e-8
4.642427152754259e-8,1.2949140599982575e-8
3.486824792661312e-8,1.6213834312424574e-8
3.486824792661312e-8,1.6213834312424574e-8
4.012707623913416e-8,3.054808650625751e-8
3.5246020062479833e-8,3.151345531940309e-8
3.490279290992331e-8,2.873130800629415e-8
4.254027576615057e-8,1.8566799880985885e-8
3.78031761933759e-8,2.1455437137544326e-8
4.3759809518483516e-8,1.8546350949871835e-8
2.6855557265188715e-8,2.880755347962362e-8
4.3700708553866336e-8,1.861682599426028e-8
4.223522787744645e-8,1.0678087384195146e-8
4.457366972739564e-8,2.16502311269258e-8
3.740875563554712e-8,2.0374251878583613e-8
3.740875563554712e-8,2.0374251878583613e-8
4.7757961681292456e-8,1.5541366302477382e-8
3.0005267587498034e-8,1.2492625047447395e-8
3.211056476092697e-8,2.8316652469383407e-8
2.9170077788586612e-8,5.244189875351738e-8
2.9099828743563555e-8,5.036830368914267e-8
5.482657872619155e-8,5.355715661644351e-8
5.125216234122587e-8,2.1682217528448108e-8
3.8186794678851555e-8,4.6860446321907375e-8
6.444046410669438e-8,2.891450410997346e-8
4.228691363125729e-8,2.3201421953107236e-8
3.32534646427775e-8,1.5396400750894082e-8
3.842672691138426e-8,1.279083192075383e-8
3.842672691138426e-8,1.279083192075383e-8
3.878470135525088e-8,1.2539505711957293e-8
3.20992633507035e-8,1.935859740477434e-8
3.208069526081851e-8,2.7862569749108634e-8
4.8670543754743e-8,1.3032398208083133e-8
3.742419111484249e-8,2.1811061180421067e-8
2.597835960363452e-8,2.8583439475384685e-8
3.798098668104695e-8,2.804206068873512e-8
3.500168033103079e-8,2.4484499367488837e-8
5.321079491861366e-8,2.6783567953134317e-8
2.9216153164312696e-8,1.584758797238356e-8
3.208350627943417e-8,1.8289104181350895e-8
4.8484282214951554e-8,1.9822047974723044e-8
4.8484282214951554e-8,1.9822047974723044e-8
3.577007503185117e-8,2.122259789005888e-8
4.4065668382989453e-8,2.460375279760329e-8
2.1248122130824694e-8,2.5495298648865146e-8
3.724714998942301e-8,2.252205683970727e-8
4.027022511636385e-8,1.3186903803067743e-8
5.3233202460838574e-8,2.4665569628515327e-8
3.280340068216839e-8,2.1485264411280085e-8
4.823764162785852e-8,2.4749270230731224e-8
3.332660426654778e-8,1.8229725798650303e-8
3.332660426654778e-8,1.8229725798650303e-8
2.150891974148397e-8,2.515235619751537e-8
2.1118973651046474e-8,2.3034865297678275e-8
2.24027477948334e-8,2.7483711856161273e-8
2.24027477948334e-8,2.7483711856161273e-8
2.3231751150867995e-8,2.9228490010733138e-8
6.425400618745163e-8,4.1508198642012785e-8
4.6821980149668823e-8,2.182561403143845e-8
3.3575359178922707e-8,3.134344383890615e-8
